corpus,study_id,set,multilab,social,z_orig,z_repli,n_orig,n_repli,se_orig,se_repli,pub_expanded
osc,OSC_1,train,0,0,0.6847601584739658,0.1494431202562825,24,29,0.2182178902359924,0.19611613513818404,NA
osc,OSC_2,train,0,0,0.710707113969394,0.23377205458996472,24,24,0.2182178902359924,0.2182178902359924,NA
osc,OSC_3,train,0,0,0.4537537085180426,-0.21866348559307724,25,32,0.21320071635561041,0.18569533817705186,NA
osc,OSC_4,train,0,0,0.23285908973210578,-0.006108433973461672,240,270,0.06495698024616309,0.06119900613621046,NA
osc,OSC_5,train,0,0,0.498962392476004,0.13563752487097225,32,48,0.18569533817705186,0.14907119849998599,NA
osc,OSC_6,train,0,0,0.6853097695820245,0.41871042069876274,24,32,0.2182178902359924,0.18569533817705186,NA
osc,OSC_7,train,0,0,0.8976337091060953,0.13217637292161324,100,15,0.10153461651336192,0.2886751345948129,NA
osc,OSC_8,train,0,0,0.6349080539735836,-0.11106883107218099,48,33,0.14907119849998599,0.18257418583505536,NA
osc,OSC_10,train,0,0,0.8645347464677579,1.0472266736984779,32,32,0.18569533817705186,0.18569533817705186,NA
osc,OSC_11,train,0,0,0.8145345813724082,0.5055152926486165,22,30,0.22941573387056174,0.19245008972987526,NA
osc,OSC_12,train,0,0,0.18040978529579355,0.08343068058760733,48,118,0.14907119849998599,0.09325048082403138,NA
osc,OSC_13,train,0,0,0.5825304357435118,0.5825812911881418,36,36,0.17407765595569785,0.17407765595569785,NA
osc,OSC_15,train,0,0,0.19767134120069746,0.25208556419944367,95,242,0.10425720702853739,0.06468462273531508,NA
osc,OSC_17,train,0,0,0.3147723243500521,0.4654433744851636,39,47,0.16666666666666666,0.15075567228888181,NA
osc,OSC_19,train,0,0,0.6335606756467697,0.42595960134005384,32,21,0.18569533817705186,0.23570226039551587,NA
osc,OSC_20,train,0,0,0.2279603641295731,0.01942449565684181,96,108,0.10369516947304253,0.09759000729485333,NA
osc,OSC_22,train,0,0,0.22298292048881402,0.0647516900439762,18,32,0.2581988897471611,0.18569533817705186,NA
osc,OSC_24,train,0,0,0.38118065255017597,0.29232618593633947,154,49,0.08137884587711594,0.14744195615489714,NA
osc,OSC_25,train,0,0,0.36330369019969344,0.280456144360303,24,63,0.2182178902359924,0.12909944487358055,NA
osc,OSC_26,train,0,0,0.16236765395786637,0.14507780824932953,16,20,0.2773500981126146,0.24253562503633297,NA
osc,OSC_27,train,0,0,0.3978046318847213,0.3995618105996615,32,71,0.18569533817705186,0.12126781251816648,NA
osc,OSC_28,train,0,0,0.35609920057597155,0.10363049054284387,32,91,0.18569533817705186,0.10660035817780521,NA
osc,OSC_29,train,0,0,0.945679455083732,0.8749986126610695,8,15,0.44721359549995793,0.2886751345948129,NA
osc,OSC_32,train,0,0,0.7304939221455219,0.5239164970453953,37,38,0.17149858514250882,0.1690308509457033,NA
osc,OSC_33,train,0,0,0.5719805985026437,0.32719705713775554,40,40,0.1643989873053573,0.1643989873053573,NA
osc,OSC_36,train,0,0,0.8951362925600662,0.8320225722216888,24,24,0.2182178902359924,0.2182178902359924,NA
osc,OSC_37,train,0,0,0.6200721405949666,0.36520626859527255,12,18,0.3333333333333333,0.2581988897471611,NA
osc,OSC_39,train,0,0,0.384507676875194,0.10206207280560249,68,153,0.12403473458920847,0.08164965809277261,NA
osc,OSC_43,train,0,1,0.36231456865624073,0.16247858884867003,67,75,0.125,0.11785113019775793,NA
osc,OSC_44,train,0,1,0.36792462045926266,0.1513828539630307,70,180,0.12216944435630522,0.07516460280028289,NA
osc,OSC_46,train,0,1,0.022546192531378944,0.02384605586790424,230047,455326,0.0020849447206127527,0.0014819727077588,NA
osc,OSC_48,train,0,1,0.22943282644235166,-0.05233801898581877,100,200,0.10153461651336192,0.07124704998790965,NA
osc,OSC_49,train,0,1,0.39812709641779126,-0.030494987364491476,36,88,0.17407765595569785,0.10846522890932808,NA
